x,y,Dates Reporting Period,Reporting Period,Region,No. of Ecs,Family Inside ECs,Family Home Based,No. of returned,Total Displaced
124.3088,7.480787,1-Jun-17,#NAME?,ARMM,3,727,23154,0,23881
,,1-Jun-17,#NAME?,Others,0,0,0,0,0
124.6742,8.187355,1-Jun-17,#NAME?,Region X,17,4810,2376,0,7186
124.3088,7.480787,2-Jul-17,#NAME?,ARMM,43,1210,37107,0,38317
,,2-Jul-17,#NAME?,Others,0,0,1767,0,1767
124.6742,8.187355,2-Jul-17,#NAME?,Region X,36,2588,31485,0,34073
124.3088,7.480787,1-Aug-17,#NAME?,ARMM,40,0,0,0,36135
,,1-Aug-17,#NAME?,Others,0,0,2661,0,2661
124.6742,8.187355,1-Aug-17,#NAME?,Region X,35,0,0,0,39670
124.3088,7.480787,2-Sep-17,#NAME?,ARMM,38,0,0,0,36135
,,2-Sep-17,#NAME?,Others,0,0,2620,0,2620
124.6742,8.187355,2-Sep-17,#NAME?,Region X,35,0,0,0,39670
124.3088,7.480787,6-Oct-17,#NAME?,ARMM,34,0,0,0,36135
,,6-Oct-17,#NAME?,Others,0,0,2661,0,2661
124.6742,8.187355,6-Oct-17,#NAME?,Region X,35,0,0,0,39670
124.3088,7.480787,1-Nov-17,#NAME?,ARMM,0,0,0,0,0
,,1-Nov-17,#NAME?,Others,0,0,0,0,0
124.6742,8.187355,1-Nov-17,#NAME?,Region X,0,0,0,0,0
124.3088,7.480787,1-Dec-17,#NAME?,ARMM,0,0,0,0,0
,,1-Dec-17,#NAME?,Others,0,0,0,0,0
124.6742,8.187355,1-Dec-17,#NAME?,Region X,0,0,0,0,0
124.3088,7.480787,7-Jan-18,#NAME?,ARMM,34,714,25964,13627,26678
,,7-Jan-18,#NAME?,Others,0,0,0,0,0
124.6742,8.187355,7-Jan-18,#NAME?,Region X,33,1689,35329,0,37018
,,1-Feb-18,#NAME?,Others,0,0,0,0,0
124.3088,7.480787,7-Feb-18,#NAME?,ARMM,34,1851,0,28219,1851
124.6742,8.187355,7-Feb-18,#NAME?,Region X,32,1222,0,0,1222
124.3088,7.480787,1-Mar-18,#NAME?,ARMM,0,0,0,0,0
,,1-Mar-18,#NAME?,Others,0,0,0,0,0
124.6742,8.187355,1-Mar-18,#NAME?,Region X,0,0,0,0,0
124.3088,7.480787,1-Apr-18,#NAME?,ARMM,0,0,0,0,0
,,1-Apr-18,#NAME?,Others,0,0,0,0,0
124.6742,8.187355,1-Apr-18,#NAME?,Region X,0,0,0,0,0
124.3088,7.480787,2-May-18,#NAME?,ARMM,27,726,17753,14742,18479
,,2-May-18,#NAME?,Others,0,0,4000,0,4000
124.6742,8.187355,2-May-18,#NAME?,Region X,14,394,21391,16176,21785
124.3088,7.480787,3-Jun-18,#NAME?,ARMM,22,1323,16559,51078,17882
,,3-Jun-18,#NAME?,Others,0,0,4000,0,4000
124.6742,8.187355,3-Jun-18,#NAME?,Region X,8,306,13808,16176,14114
124.3088,7.480787,8-Jul-18,#NAME?,ARMM,15,940,2114,31335,3054
,,8-Jul-18,#NAME?,Others,0,0,1857,2143,1857
124.6742,8.187355,8-Jul-18,#NAME?,Region X,8,234,8659,26251,8893
124.3088,7.480787,1-Aug-18,#NAME?,ARMM,15,940,2670,31335,3610
,,1-Aug-18,#NAME?,Others,0,0,1780,2220,1780
124.6742,8.187355,1-Aug-18,#NAME?,Region X,8,197,8746,30809,8943
124.3088,7.480787,2-Sep-18,#NAME?,ARMM,15,940,2670,31335,3610
,,2-Sep-18,#NAME?,Others,0,0,1780,2220,1780
124.6742,8.187355,2-Sep-18,#NAME?,Region X,7,195,8746,30809,8941
124.3088,7.480787,########,#NAME?,ARMM,15,940,2670,31327,3610
,,########,#NAME?,Others,0,0,958,2193,958
124.6742,8.187355,########,#NAME?,Region X,6,161,9531,30361,9692
124.3088,7.480787,1-Nov-18,#NAME?,ARMM,15,940,2670,31327,3610
,,1-Nov-18,#NAME?,Others,0,0,958,2193,958
124.6742,8.187355,1-Nov-18,#NAME?,Region X,6,139,9531,30361,9670
124.3088,7.480787,1-Dec-18,#NAME?,ARMM,15,940,2670,31327,3610
,,1-Dec-18,#NAME?,Others,0,0,958,2193,958
124.6742,8.187355,1-Dec-18,#NAME?,Region X,6,135,9531,30361,9666